holidayhomeno,address1,address2,country,email,contactno,amenities,price
3478,San Costa,Valencia,Spain,john@live.com,+353 18767352,Swimming Pool| Gym | Sauna,445.99
4628,Rue De Bollard,Biot,France,pierre@gmail.fr,+353 8736467,Gym |Shop | Spa,399.99
7654,1 Malboro Street,Boston,USA,chuck@usa.com,+353 634654389,Creche | Tennis | Free Access To Aqua Park,207.50
1234,23 San Costa,Valencia,Spain,amparo@esp.eu,+353 654 87766,Shop | Golf | Fun Park,605.00
5678,Jeffery Street EH1,Edinburgh,Scotland,raymond@tiscali.co.uk,+353 9874673,Swimming Pool | Health Club | Restaurant,275.50
9876,Great Bridge Water Street M1,England,United Kingdom,richard@orange.co.uk,+353 45678293,Direct Dial Telephone | Satellite TV |  Sauna,325.99
8765,18 Rue d'Antin,Paris,France,pierre@tmobile.fr,+353 6549872,Swimming Pool | Health Spa |,379.00
7654,49 Stationsplein,Amsterdam,Holland,rokin@hotmail.com,+353 6530986,AirCondition  | Direct Dial Telephone,650.99
6543,Vaclavske Namesti 22,Prague,Czech Republic,florenci@rybna.cs,+353 2467998,Swimming Pool| Gym | Sauna,545.50
5432,80 High Street EH1,Edinburgh,Scotland,paul@hotmail.com,+353 542890,Swimming Pool | Air Condition | Satellite TV,450.00
4321,24 Via Napo Torriani,Milan,Italy,pettinari@flavia.il,+353 657855423,Impressive Panoramic Views,379.50
7643,22 Carrer de Pelai,Barcelona,Spain,anton@hotmail.com,+353 76322990,Bright and Modern | Air Conditioning,469.99
4598,16 Vangerowstrasse Heidelberg,Heidelberg,Germany,hans@gurtel.eu,+353 6554878,Riverside Flea Markets | Close to great bars and restaurants | Direct Dial Telephone,569.50
